Line, Expression, Evaluation
93, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 + 2*g12^2 - 4*g12*g23^2 + 4*g12*g23>0, True
94, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 - g12*g23^2 + 3*g12*g23>0, True
95, g12<1 && g12>0 && g23<1 && g23>0, -4*g12*g23 + 4>0, True
96, g12<1 && g12>0 && g23<1 && g23>0, -g12^2 - 3*g12*g23 + 3*g12 - g23 + 2>0, True
97, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 + 2*g12>0, True
98, g12<1 && g12>0 && g23<1 && g23>0, 1 - g12>0, True
99, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23 + g12^2 - 2*g12*g23^2 + 2*g12*g23>0, True
100, g12<1 && g12>0 && g23<1 && g23>0, -3*g12*g23^2 - 5*g12*g23 + 5*g23 + 3>0, True
101, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 - 3*g12*g23^2 + 2*g12*g23 + g12 + 2>0, True
102, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 - g12*g23^2 + 3*g12*g23>0, True
103, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 + 2*g23>0, True
104, g12<1 && g12>0 && g23<1 && g23>0, -3*g12^2*g23 - 3*g12*g23^2 + 3*g12*g23 + 2*g12 + g23>0, True
105, g12<1 && g12>0 && g23<1 && g23>0, 1 - g23^2>0, True
106, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23^2 + 2*g12*g23^2 + 2*g12*g23>0, True
107, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2 - 2*g12*g23 + 4*g12 - 3*g23^2 + 2*g23 + 1>0, True
108, g12<1 && g12>0 && g23<1 && g23>0, -g12 - g23 + 2>0, True
109, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 + g12^2 - g12*g23 + 2*g12>0, True
110, g12<1 && g12>0 && g23<1 && g23>0, -3*g12^2*g23 + 3*g12^2>0, True
111, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23^2 + 2*g12^2*g23 + 2*g12*g23>0, True
112, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + 2*g12>0, True
113, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + g12^2*g23 + g12*g23>0, True
114, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23^2 - g12*g23 + g23^2 + 2*g23>0, True
115, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + 2*g12*g23^2>0, True
116, g12<1 && g12>0 && g23<1 && g23>0, -6*g12*g23 - 2*g12 - 2*g23^2 + 6*g23 + 4>0, True
117, g12<1 && g12>0 && g23<1 && g23>0, -g12*g23^2 - 2*g12*g23 + 2*g23 + 1>0, True
118, g12<1 && g12>0 && g23<1 && g23>0, -6*g12^2*g23 - 6*g12*g23^2 + 6*g12*g23 + 4*g12 + 2*g23>0, True
119, g12<1 && g12>0 && g23<1 && g23>0, -8*g12^2*g23 - 9*g12*g23^2 + 8*g12*g23 + 5*g12 + 2*g23 + 2>0, True
120, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23 + g12^2 - 2*g12*g23^2 + 2*g12*g23>0, True
121, g12<1 && g12>0 && g23<1 && g23>0, -g12^2 - g12*g23 + 2*g12 - g23^2 + g23>0, True
122, g12<1 && g12>0 && g23<1 && g23>0, -8*g12*g23 + 8*g12>0, True
123, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + g12*g23>0, True
124, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23 - 2*g12*g23 + 2*g12 + 1>0, True
125, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + g12^2*g23>0, True
126, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + 2*g12>0, True
127, g12<1 && g12>0 && g23<1 && g23>0, -3*g12^2 - 9*g12*g23 + 9*g12 - 3*g23 + 6>0, True
128, g12<1 && g12>0 && g23<1 && g23>0, -3*g12*g23 - g12 - g23^2 + 3*g23 + 2>0, True
129, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + 2*g12^2*g23>0, True
130, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 - 3*g12*g23^2 + 2*g12*g23 + g12 + 2>0, True
131, g12<1 && g12>0 && g23<1 && g23>0, -g12*g23 - g12 - g23 + 3>0, True
132, g12<1 && g12>0 && g23<1 && g23>0, -4*g12*g23 + 4*g12>0, True
133, g12<1 && g12>0 && g23<1 && g23>0, -g23^2 + g23>0, True
134, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23 + 2*g12^2 - 2*g12*g23 + 4*g12>0, True
135, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + g12^2*g23>0, True
136, g12<1 && g12>0 && g23<1 && g23>0, -g12*g23 + 1>0, True
137, g12<1 && g12>0 && g23<1 && g23>0, -g12*g23^2 + g23^2>0, True
138, g12<1 && g12>0 && g23<1 && g23>0, 2 - 2*g12>0, True
139, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 + 2*g12>0, True
140, g12<1 && g12>0 && g23<1 && g23>0, -g12^2 - g12*g23 + 2*g12 - g23^2 + g23>0, True
141, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 - 4*g12*g23 + 4*g12 + 2>0, True
142, g12<1 && g12>0 && g23<1 && g23>0, 2 - 2*g23>0, True
143, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + g12^2*g23 + g12*g23>0, True
144, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23 + g12^2>0, True
145, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 - g12*g23^2 + g12*g23 + g23>0, True
146, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 + 2*g12^2 - 4*g12*g23^2 + 4*g12*g23>0, True
147, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 - g23^2 + 2*g23 + 1>0, True
148, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 + 2*g12^2>0, True
149, g12<1 && g12>0 && g23<1 && g23>0, -6*g12*g23 + 6*g12>0, True
150, g12<1 && g12>0 && g23<1 && g23>0, -3*g12 - 3*g23 + 6>0, True
151, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23^2 + 2*g12*g23>0, True
152, g12<1 && g12>0 && g23<1 && g23>0, -3*g12^2*g23 + 3*g12^2>0, True
153, g12<1 && g12>0 && g23<1 && g23>0, -2*g12 - 2*g23 + 4>0, True
154, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + g12^2*g23>0, True
155, g12<1 && g12>0 && g23<1 && g23>0, -6*g12*g23 - 2*g12 - 2*g23^2 + 6*g23 + 4>0, True
156, g12<1 && g12>0 && g23<1 && g23>0, -3*g12*g23 - g12 - g23^2 + 3*g23 + 2>0, True
157, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 - 2*g12 - 2*g23 + 6>0, True
158, g12<1 && g12>0 && g23<1 && g23>0, -g12*g23 - g12 - g23 + 3>0, True
159, g12<1 && g12>0 && g23<1 && g23>0, 1 - g23>0, True
160, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23^2 - g12*g23 + g23^2 + 2*g23>0, True
161, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23 - 2*g12*g23 + 2*g12 + 1>0, True
162, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + 2*g12^2*g23>0, True
163, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + g12^2*g23 - 2*g12*g23^2 + 2*g12*g23>0, True
164, g12<1 && g12>0 && g23<1 && g23>0, 1 - g12>0, True
165, g12<1 && g12>0 && g23<1 && g23>0, -3*g12*g23 - 3*g12 - 3*g23 + 9>0, True
166, g12<1 && g12>0 && g23<1 && g23>0, -4*g12*g23^2 - 2*g12*g23 + 2*g23^2 + 4*g23>0, True
167, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + g12*g23^2 + g12*g23>0, True
168, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23^2 + 2*g23^2>0, True
169, g12<1 && g12>0 && g23<1 && g23>0, -3*g12*g23^2 - g12*g23 + g23^2 + 3*g23>0, True
170, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23^2 + 2*g12>0, True
171, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 + 2*g23>0, True
172, g12<1 && g12>0 && g23<1 && g23>0, -6*g12^2*g23^2 + 2*g12^2*g23 + 2*g12*g23 + 2*g12>0, True
173, g12<1 && g12>0 && g23<1 && g23>0, -g12*g23 + 1>0, True
174, g12<1 && g12>0 && g23<1 && g23>0, -3*g12^2 - 9*g12*g23 + 9*g12 - 3*g23 + 6>0, True
175, g12<1 && g12>0 && g23<1 && g23>0, -3*g12^2*g23 - 3*g12*g23^2 + 3*g12*g23 + 2*g12 + g23>0, True
176, g12<1 && g12>0 && g23<1 && g23>0, -3*g12^2*g23 - 6*g12*g23 + 6*g12 + 3>0, True
177, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23 + g12^2>0, True
178, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23 - 8*g12*g23 + 8*g12 + 4>0, True
179, g12<1 && g12>0 && g23<1 && g23>0, 1 - g23>0, True
180, g12<1 && g12>0 && g23<1 && g23>0, -g12*g23^2 - 2*g12*g23 + 2*g23 + 1>0, True
181, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + 2*g12*g23>0, True
182, g12<1 && g12>0 && g23<1 && g23>0, -g12^2 - 3*g12*g23 + 3*g12 - g23 + 2>0, True
183, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 + 2*g12^2>0, True
184, g12<1 && g12>0 && g23<1 && g23>0, 3 - 3*g23>0, True
185, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23^2 + 2*g12>0, True
186, g12<1 && g12>0 && g23<1 && g23>0, -g12*g23 + 1>0, True
187, g12<1 && g12>0 && g23<1 && g23>0, 2 - 2*g12>0, True
188, g12<1 && g12>0 && g23<1 && g23>0, -g12^2*g23^2 + 1>0, True
189, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2 - 2*g12*g23 + 4*g12 - 2*g23^2 + 2*g23>0, True
190, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 - 4*g12*g23 + 4*g12 + 2>0, True
191, g12<1 && g12>0 && g23<1 && g23>0, -4*g12*g23 - 2*g12 - 2*g23 + 8>0, True
192, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23 + 4*g12^2 - 4*g12*g23 + 4*g12>0, True
193, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + 2*g12*g23>0, True
194, g12<1 && g12>0 && g23<1 && g23>0, -6*g12^2*g23^2 + 2*g12^2*g23 + 4*g12^2 - 4*g12*g23^2 + 4*g12*g23>0, True
195, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23^2 + 2*g12 - 2*g23^2 + 2*g23>0, True
196, g12<1 && g12>0 && g23<1 && g23>0, -4*g12*g23 + 4*g12 - 2*g23 + 2>0, True
197, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23^2 + 4*g12^2*g23>0, True
198, g12<1 && g12>0 && g23<1 && g23>0, -6*g12*g23 + 6*g12>0, True
199, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23^2 - 4*g12*g23 + 4*g23 + 2>0, True
200, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 - 2*g12*g23^2 + 4*g12*g23>0, True
201, g12<1 && g12>0 && g23<1 && g23>0, -12*g12*g23 - 4*g12 - 4*g23 + 20>0, True
202, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23^2 - 6*g12^2*g23 - 6*g12*g23^2 + 10*g12*g23 + 4*g12 + 2*g23>0, True
203, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23^2 + 4*g12*g23>0, True
204, g12<1 && g12>0 && g23<1 && g23>0, -4*g12*g23 - 2*g12 - 2*g23 + 8>0, True
205, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 - 2*g12^2 - 8*g12*g23 + 10*g12 - 2*g23 + 4>0, True
206, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23 - 2*g12^2 - 4*g12*g23^2 + 6*g12*g23 + 4*g12 - 2*g23^2 + 2*g23>0, True
207, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + 2*g12*g23^2>0, True
208, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + 2*g12^2*g23>0, True
209, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + 2*g12^2*g23>0, True
210, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + 2*g12*g23>0, True
211, g12<1 && g12>0 && g23<1 && g23>0, -6*g12*g23 - 2*g12 - 2*g23 + 10>0, True
212, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 - 4*g12*g23 + 4*g12 + 2>0, True
213, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 + 2*g23>0, True
214, g12<1 && g12>0 && g23<1 && g23>0, -4*g12*g23 - 2*g12 + 4*g23 + 2>0, True
215, g12<1 && g12>0 && g23<1 && g23>0, -8*g12^2*g23 - 4*g12^2 - 20*g12*g23 + 28*g12 - 4*g23 + 8>0, True
216, g12<1 && g12>0 && g23<1 && g23>0, -8*g12*g23 - 4*g12 - 4*g23 + 16>0, True
217, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 + 2*g12^2>0, True
218, g12<1 && g12>0 && g23<1 && g23>0, -6*g12*g23 + 6>0, True
219, g12<1 && g12>0 && g23<1 && g23>0, -6*g12^2*g23 - 6*g12*g23 + 12*g12>0, True
220, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 + 2*g23>0, True
221, g12<1 && g12>0 && g23<1 && g23>0, -4*g12*g23^2 - 4*g12*g23 + 4*g23^2 + 4*g23>0, True
222, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 - 2*g12*g23^2 + 4*g12*g23>0, True
223, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23^2 - 4*g12*g23 - 2*g23^2 + 6*g23 + 2>0, True
224, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23 - 2*g12^2 - 10*g12*g23 + 14*g12 - 2*g23 + 4>0, True
225, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 - 4*g12*g23 + 4*g12 + 2>0, True
226, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 + 2*g12^2 - 4*g12*g23 + 4*g12>0, True
227, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 + 2*g12^2>0, True
228, g12<1 && g12>0 && g23<1 && g23>0, -4*g12*g23 - 2*g12 - 2*g23 + 8>0, True
229, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23 - 2*g12^2 - 6*g12*g23^2 + 6*g12*g23 + 6*g12 - 2*g23^2 + 2*g23>0, True
230, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23^2 + 2*g23>0, True
231, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 - 2*g12^2*g23 + 4*g12*g23>0, True
232, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23^2 + 2*g12>0, True
233, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 + 2*g12^2>0, True
234, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + 2*g12*g23>0, True
235, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 + 2>0, True
236, g12<1 && g12>0 && g23<1 && g23>0, -8*g12^2*g23 + 4*g12^2 - 4*g12*g23 + 8*g12>0, True
237, g12<1 && g12>0 && g23<1 && g23>0, -6*g12^2*g23 + 6*g12^2>0, True
238, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23^2 - 2*g12*g23 + 2*g23 + 2>0, True
239, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23 + 4*g12^2>0, True
240, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23^2 + 2*g23^2>0, True
241, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23^2 + 2*g12*g23>0, True
242, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 + 2>0, True
243, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23 + 4*g12^2 - 4*g12*g23 + 4*g12>0, True
244, g12<1 && g12>0 && g23<1 && g23>0, -4*g12*g23 - 2*g12 - 2*g23 + 8>0, True
245, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23^2 - 2*g12*g23 + 2*g23 + 2>0, True
246, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 + 2>0, True
247, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23 - 2*g12 - 2*g23 + 6>0, True
248, g12<1 && g12>0 && g23<1 && g23>0, -2*g12^2*g23 + 2*g12^2>0, True
249, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23^2 + 2*g12^2*g23 + 2*g12^2 - 4*g12*g23^2 + 4*g12*g23>0, True
250, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23 + 2*g12^2 - 2*g12*g23 + 4*g12>0, True
251, g12<1 && g12>0 && g23<1 && g23>0, -6*g12*g23 + 6>0, True
252, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23^2 - 8*g12*g23 - 2*g12 - 2*g23^2 + 10*g23 + 4>0, True
253, g12<1 && g12>0 && g23<1 && g23>0, -2*g12*g23^2 - 4*g12*g23 + 2*g23^2 + 4*g23>0, True
254, g12<1 && g12>0 && g23<1 && g23>0, -4*g12^2*g23 + 2*g12^2 - 2*g12*g23 + 4*g12>0, True
